section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,"In Arkansas, which state agency administers driver's licenses — the DMV or the DFA?","a:The Department of Motor Vehicles (DMV),b:The Department of Finance and Administration (DFA),c:The Department of Transportation (DOT),d:The Department of Public Safety (DPS)",b,Arkansas does not have a DMV — driver's licenses are issued by the Department of Finance and Administration (DFA). This is an important state-specific fact that is commonly tested because most states use the 'DMV' name.,medium
1,Traffic Laws & Rules of the Road,What is the minimum age to apply for a learner's permit in Arkansas?,"a:13,b:14,c:15,d:16",b,"Arkansas allows teens to apply for a learner's permit at age 14, making it one of the youngest permit ages in the nation. The permit requires supervised driving with a licensed adult before advancing to a restricted intermediate license.",medium
1,Traffic Laws & Rules of the Road,Arkansas's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.00%,b:0.02%,c:0.04%,d:0.08%",b,Arkansas sets the underage DUI threshold at 0.02% BAC. A driver under 21 with a BAC of 0.02% or higher faces license suspension and criminal penalties. This threshold is lower than the adult standard of 0.08%.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in Arkansas?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"Arkansas, like all U.S. states, sets the per se DUI limit at 0.08% BAC for drivers 21 and older. Commercial drivers face a stricter 0.04% limit. A BAC of 0.08% or higher is grounds for a DUI charge regardless of visible impairment.",medium
1,Traffic Laws & Rules of the Road,You are driving on an Arkansas rural highway with no posted speed limit sign. What is the default maximum speed?,"a:45 mph,b:55 mph,c:60 mph,d:65 mph",b,The default speed limit on rural Arkansas highways without posted limits is 55 mph. On interstate highways the limit is higher — but rural two-lane roads default to 55 mph when no sign is present.,medium
1,Traffic Laws & Rules of the Road,"Under Arkansas's Graduated Driver Licensing (GDL) program, how long must a learner's permit holder maintain a clean driving record before they can apply for an intermediate license?","a:30 days,b:3 months,c:6 months,d:1 year",c,"Under Arkansas's GDL program, a teen holding a learner's permit must maintain a completely clean driving record (no traffic violations or at-fault crashes) for at least 6 months before they are eligible to upgrade to a Stage 2 Intermediate License.",medium
1,Traffic Laws & Rules of the Road,You are at a 4-way stop and arrive at the same time as a driver on your right. Who has the right of way?,"a:You have the right of way because you are on the left,b:The driver on your right has the right of way,c:The driver traveling straight has the right of way,d:The driver traveling faster has the right of way",b,"When two vehicles arrive at a 4-way stop simultaneously, the vehicle on the right has the right of way. This rule applies in Arkansas and across the United States — always yield to the driver on your right in a tie situation.",medium
1,Traffic Laws & Rules of the Road,What does a flashing red traffic signal mean in Arkansas?,"a:Slow down and proceed with caution,b:Stop completely, yield, then proceed when safe — same as a stop sign,c:The intersection is temporarily closed,d:Yield only to pedestrians",b,"A flashing red signal must be treated as a stop sign in Arkansas. Come to a complete stop, yield to traffic and pedestrians, and proceed only when the way is clear. A flashing yellow signal means caution — slow down but a full stop is not required.",medium
1,Traffic Laws & Rules of the Road,"Under Arkansas law, which passengers in a vehicle must wear a seatbelt?","a:Only the driver,b:Driver and front-seat passengers only,c:All occupants of the vehicle,d:Only passengers under age 18",c,"Arkansas requires all vehicle occupants — front and rear — to wear a seatbelt. The law is primary enforcement, meaning an officer can stop a vehicle solely for a seatbelt violation without needing any other reason.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit in a school zone in Arkansas when warning lights are flashing and children are present?,"a:10 mph,b:15 mph,c:20 mph,d:25 mph",d,"In Arkansas, the statutory school zone speed limit is 25 miles per hour when children are present or warning lights are flashing, unless a different limit is posted.",medium
