section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,What does an orange-colored road sign generally indicate?,"a:Construction, maintenance, or emergency operations ahead.,b:A school zone is ahead.,c:A railroad crossing is ahead.",a,Orange signs warn of construction or maintenance activities; slow down and be prepared for changed traffic patterns.,medium
1,Traffic Laws & Rules of the Road,A broken yellow line beside a solid yellow line means:,"a:Passing is permitted from the lane next to the solid line.,b:Passing is permitted from the lane next to the broken line.,c:Passing on the left is permitted from either direction.",b,"When a broken yellow line is next to a solid yellow, vehicles on the side of the broken line may pass when safe; vehicles next to the solid line may not.",medium
1,Traffic Laws & Rules of the Road,You may cross a dashed white line:,"a:Only during daylight hours.,b:When it is safe to change lanes.,c:At any time.",b,Broken white lines separate lanes moving in the same direction and may be crossed to change lanes when it is safe.,medium
1,Traffic Laws & Rules of the Road,What does a posted speed limit represent?,"a:The maximum legal speed under ideal conditions.,b:The exact speed you must always drive to avoid a ticket.,c:Only a suggested speed to follow.",a,"A speed limit is the maximum legal speed for ideal conditions; you should drive slower when road, weather, or traffic conditions demand it.",medium
1,Traffic Laws & Rules of the Road,What should you do before making a turn?,"a:Signal your intent a few seconds before turning.,b:Turn the wheel immediately without signaling.,c:Increase your speed then turn.",a,Activate your turn signal about three to four seconds before turning to warn other road users.,medium
1,Traffic Laws & Rules of the Road,Which signal indicates you should slow down and proceed with caution through an intersection?,"a:A flashing yellow light.,b:A flashing red light.,c:A solid yellow light.",a,"A flashing yellow light means slow down, proceed with caution, and be ready to stop if necessary.",medium
1,Traffic Laws & Rules of the Road,"When the driver behind you signals they want to pass, what should you do?","a:Slow down to allow space in front of your vehicle for a safe pass.,b:Speed up to prevent them from passing.,c:Maintain exactly the same speed.",a,Slow slightly to create a gap ahead of your vehicle so the overtaking driver can pass more quickly and safely.,medium
1,Traffic Laws & Rules of the Road,What does a steady green traffic light at an intersection mean?,"a:Must slow down and prepare to stop.,b:May drive through the intersection if the road is clear.,c:Must stop and check for oncoming traffic before proceeding.",b,"A steady green light means you may proceed through the intersection if it is clear. You may also turn, but you must yield to pedestrians and other traffic as required.",medium
1,Traffic Laws & Rules of the Road,How should you drive in fog to reduce risk?,"a:Reduce speed, drive cautiously, and use low-beam headlights.,b:Use high beams to see farther.,c:Use hazard lights only.",a,"In fog, slow down, be cautious, and use low beams because high beams reflect back and reduce visibility.",medium
1,Traffic Laws & Rules of the Road,What best ensures safety when backing a vehicle?,"a:Check behind the vehicle on foot before getting in.,b:Check rearview mirrors only.,c:Honk immediately before reversing.",a,"Because it's hard to see from the driver's seat, walk to the rear of the vehicle first to check for children or objects before backing.",medium
1,Traffic Laws & Rules of the Road,What have studies shown about wearing a seat belt properly?,"a:It reduces the risk of serious injury in a crash.,b:It increases the chance of fatality.,c:It reduces damage to your vehicle.",a,Properly worn seat belts significantly reduce the chances of serious injury or death in crashes.,medium
