section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,How is drinking alcohol and driving classified?,"a:A minor traffic safety problem,b:A serious traffic safety problem,c:Safe if you have only had a few drinks",b,Driving while impaired by alcohol or drugs is a serious safety issue and greatly increases crash risk.,medium
2,Traffic Laws & Rules of the Road,When turning left you must yield the right-of-way to:,"a:Other drivers already in the intersection,b:Oncoming traffic and pedestrians,c:Pedestrians only if they are in a crosswalk",b,Left-turning drivers must yield to oncoming traffic and to pedestrians and bicyclists in the intersection.,medium
2,Traffic Laws & Rules of the Road,The space you need to cross traffic safely depends on:,"a:Road conditions, weather, and oncoming traffic,b:Whether there is a stop sign present,c:Whether you used your turn signal",a,"The gap needed to cross or turn depends on road surface, weather, and the speed and distance of oncoming traffic.",medium
2,Traffic Laws & Rules of the Road,Which factors affect your vehicle's braking distance?,"a:Vehicle speed, condition of brakes and tires, and pavement condition.,b:Only the age of the vehicle.,c:Only the number of passengers.,d:Only the color of the vehicle.",a,"Braking distance depends on how fast you are traveling, the state of your brakes and tires, and road surface conditions such as wetness or ice.",medium
2,Traffic Laws & Rules of the Road,"If you hit an unattended parked car and can't find the owner, what must you do?","a:Leave a written note with your name, address, and accident details,b:Stay until the police arrive,c:Assume you have done enough and leave",a,"If you strike an unattended vehicle, leave a written notice with your name, address, and the circumstances of the accident if the owner cannot be located.",medium
2,Traffic Laws & Rules of the Road,Lanes of traffic moving in the same direction are separated by which color lines?,"a:White lines.,b:Yellow lines.,c:Red lines.,d:Green lines.",a,White lines (solid or broken) are used to separate lanes moving in the same direction; yellow lines separate opposing traffic.,medium
2,Traffic Laws & Rules of the Road,"When stopped for a traffic violation or equipment check, what must the driver produce?","a:Their driver license, proof of registration, and proof of insurance.,b:Only proof of insurance.,c:Only proof of registration.,d:Only their license.",a,"Drivers must present their license, vehicle registration, and proof of insurance when requested by law enforcement.",medium
2,Traffic Laws & Rules of the Road,When may you cross a dashed white line?,"a:When it is safe to change lanes,b:Only during daylight hours,c:At any time regardless of conditions",a,Broken white lines separate lanes moving in the same direction and may be crossed to change lanes when safe.,medium
2,Traffic Laws & Rules of the Road,"When you reach an intersection with a flashing red light, what must you do?","a:Come to a full stop, yield the right-of-way, and go when it is safe.,b:Stop only if other cars are approaching.,c:Slow down and proceed without stopping.,d:Drive through if the intersection seems clear.",a,"A flashing red light requires a full stop and yielding the right-of-way, just like a stop sign.",medium
2,Traffic Laws & Rules of the Road,"When driving through an area where children are playing, you should expect them to:","a:Know when it is safe to cross,b:Always stop at the curb before crossing,c:Possibly run into the street without looking",c,Children can act unpredictably; reduce speed and be prepared to stop at any time.,medium
2,Traffic Laws & Rules of the Road,Two solid white lines painted across a traffic lane indicate the boundaries of:,"a:A bicycle lane,b:A pedestrian crosswalk,c:A no-passing zone for vehicles only",b,Two solid white lines can mark a crosswalk; drivers must yield to pedestrians in marked crosswalks.,medium
2,Traffic Laws & Rules of the Road,Taking drugs along with alcohol generally:,"a:Increases the risk of causing a crash,b:Is no more dangerous than alcohol alone,c:Lessens the effect of alcohol on driving ability",a,"Combining alcohol with other drugs (prescription, over-the-counter, or illegal) increases impairment and crash risk.",medium
2,Traffic Laws & Rules of the Road,"If you miss your exit on an interstate, what is the correct action?","a:Continue to the next exit and safely return to your destination.,b:Stop and make a U-turn on the shoulder.,c:Back up on the exit ramp.,d:Signal and cross multiple lanes at once to get back.",a,Do not stop or back up on the highway; proceed to the next exit and safely turn around to return to the desired exit.,medium
2,Traffic Laws & Rules of the Road,What lane entitlement do motorcycles have?,"a:The same full lane width as other motor vehicles,b:They must use the bicycle lane,c:They are limited to half a lane",a,Motorcycles are entitled to a full lane just like other vehicles and should be treated accordingly.,medium
2,Traffic Laws & Rules of the Road,"If you experience a tire blowout while driving, you should:","a:Immediately stomp on the brakes,b:Do not immediately use your brakes; take your foot off the gas,c:Keep accelerating to reach the shoulder quickly",b,"Take your foot off the gas, avoid sudden braking, gradually slow, then steer to a safe place to stop.",medium
2,Traffic Laws & Rules of the Road,How can you avoid being in a truck or bus driver's blind spot?,"a:Avoid driving alongside them and avoid tailgating; do not remain beside them for extended periods.,b:Always pass on the right, even in tight spaces.,c:Flash your lights to get their attention.,d:Drive directly behind them very close.",a,Large vehicles have significant blind spots at the sides and rear; avoid lingering alongside and give them plenty of space when passing.,medium
2,Traffic Laws & Rules of the Road,"When approaching a railroad crossing that has no active signals or gates, you should:","a:Always come to a complete stop,b:Slow down and be prepared to stop if you see or hear a train,c:Assume all crossings have signals and proceed normally",b,"At unprotected crossings slow down, look and listen for trains, and be prepared to stop if one is approaching.",medium
2,Traffic Laws & Rules of the Road,A double solid yellow centerline down a two-lane road means:,"a:Traffic moves in opposite directions and passing is prohibited,b:Traffic moves in opposite directions and passing is allowed when safe,c:Lanes move in the same direction and passing is prohibited",a,Double solid yellow lines separate opposite-direction traffic and prohibit passing from either direction.,medium
2,Traffic Laws & Rules of the Road,How should you regard railroad crossings?,"a:Dangerous — always look and listen for trains.,b:Safe to cross without looking.,c:A place safe to park.",a,"Railroad crossings are hazardous; always look both ways, listen, and obey signals or flaggers before crossing.",medium
2,Traffic Laws & Rules of the Road,What does an 'End school zone' sign indicate?,"a:The end of the reduced speed school zone.,b:The beginning of a reduced speed zone.,c:The area with more children present.",a,The 'End school zone' sign marks the point where the special school zone speed limit and restrictions end.,medium
2,Traffic Laws & Rules of the Road,Why must drivers be more cautious at night?,"a:Traffic moves faster at night,b:There is a larger volume of traffic at night,c:Drivers cannot see as well in the dark",c,Reduced visibility at night makes it harder to see hazards; headlights must be used from half hour after sunset to half hour before sunrise.,medium
2,Traffic Laws & Rules of the Road,Traffic moving in opposite directions is separated by what color lines?,"a:Yellow lines,b:White lines,c:Red lines",a,Yellow centerlines separate traffic moving in opposite directions; white lines separate traffic moving the same direction.,medium
2,Traffic Laws & Rules of the Road,"When your visibility decreases, your first response should be to:","a:Turn on your headlights,b:Reduce your speed,c:Turn on your windshield wipers",b,Reducing speed gives you more time to react when visibility is limited or road conditions are hazardous.,medium
2,Traffic Laws & Rules of the Road,What does a regulatory sign with a red circle and slash mean?,"a:The action shown is forbidden,b:Drivers should come to a complete stop,c:Some drivers must yield",a,A red circle with a slash over a symbol indicates that the depicted action is prohibited.,medium
