section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,At what minimum age can a Kansas resident apply for a learner's permit?,"a:13,b:14,c:15,d:16",b,Kansas has the lowest minimum permit age in the United States — 14 years old. This is a highly tested Kansas-specific fact. Most other states require applicants to be 15 or 16. Kansas permits 14-year-olds to begin learning to drive under adult supervision.,medium
1,Traffic Laws & Rules of the Road,Kansas allows teenagers to apply for a restricted license at age 15 after holding a permit since age 14. What is this arrangement called?,"a:Graduated Driver Licensing (GDL),b:Early Operator Program,c:Provisional Teen License,d:Junior Operator Permit",a,"Kansas uses a Graduated Driver Licensing (GDL) system. A teen gets a learner's permit at 14, a restricted license at 15 (after meeting supervised driving requirements), and a full unrestricted license at 16. The GDL system progressively reduces restrictions as experience builds.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit on most urban streets in Kansas when no speed limit sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:40 mph",b,"Kansas sets the default urban speed limit at 30 mph when no other limit is posted. This is consistent with many neighboring Midwestern states. Always look for posted signs, as specific business or school areas may have different limits.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit on most Kansas highways when no sign is posted?,"a:55 mph,b:60 mph,c:65 mph,d:70 mph",c,The default highway speed limit in Kansas is 65 mph when no sign is posted. Interstate highways typically have a higher posted limit of 75 mph. The 65 mph default applies to most two-lane and four-lane non-interstate highways.,medium
1,Traffic Laws & Rules of the Road,What is the maximum speed limit on most Kansas interstate highways?,"a:65 mph,b:70 mph,c:75 mph,d:80 mph",c,"Kansas interstates have a maximum speed limit of 75 mph for passenger vehicles. This is higher than many states. Always check posted signs, and remember that urban interstate sections through cities like Wichita or Kansas City may have lower limits.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit in Kansas school zones?,"a:15 mph,b:20 mph,c:25 mph,d:30 mph",b,Kansas school zones have a 20 mph speed limit when children are present or warning lights are active. This is lower than many states' 25 mph school zone limits. Reduce speed well in advance of school zones and watch carefully for children near the road.,medium
1,Traffic Laws & Rules of the Road,"Under Kansas's zero tolerance law, what BAC level is illegal for a driver under 21?","a:Any measurable amount — 0.00%,b:0.02%,c:0.04%,d:0.08%",b,Kansas sets the illegal BAC threshold for drivers under 21 at 0.02%. A driver under 21 with a BAC at or above 0.02% faces DUI charges and license suspension. The standard adult DUI limit is 0.08% for drivers 21 and older.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in Kansas?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,Kansas sets the per se DUI limit at 0.08% BAC for drivers 21 and older. A BAC at or above 0.08% is sufficient to establish impairment under Kansas law. Commercial drivers face a stricter 0.04% limit.,medium
1,Traffic Laws & Rules of the Road,"Under Kansas's GDL program, teens under 16 with a restricted license cannot drive during which hours?","a:8 PM to 5 AM,b:9 PM to 5 AM,c:10 PM to 6 AM,d:Midnight to 5 AM",b,"Kansas restricts drivers under 16 from driving between 9 PM and 5 AM. This curfew ensures new teenage drivers avoid nighttime driving — the highest-risk period — until they have more experience. Exceptions apply for work, school activities, and emergencies.",medium
1,Traffic Laws & Rules of the Road,"Kansas's implied consent law means that by driving in Kansas, you have agreed to:","a:Allow your vehicle to be searched at any time,b:Submit to a chemical test if suspected of DUI,c:Always wear a seatbelt,d:Pay all traffic fines without contest",b,Kansas's implied consent law means that operating a vehicle on Kansas roads constitutes automatic consent to chemical testing if a law enforcement officer has reasonable grounds to suspect DUI. Refusing a test results in license suspension and the refusal may be used as evidence in court.,medium
