section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which agency handles driver licensing and permits in Maine?,"a:Maine DMV,b:Maine Bureau of Motor Vehicles (BMV),c:Maine DOT,d:Maine Secretary of State",b,"Maine's Bureau of Motor Vehicles (BMV), part of the Secretary of State's office, handles driver licensing, vehicle registration, and permits. If you need a permit or license in Maine, visit a BMV office.",medium
2,Traffic Laws & Rules of the Road,What is the minimum age to apply for a Maine learner's permit?,"a:14,b:15,c:16,d:15 and a half",b,Maine allows teens to apply for a learner's permit at age 15. The permit allows supervised driving practice as the first step in Maine's GDL program.,medium
2,Traffic Laws & Rules of the Road,Maine's real BMV knowledge test has exactly 30 questions. How many must you answer correctly to pass?,"a:20 (67%),b:22 (73%),c:24 (80%),d:27 (90%)",c,Maine's BMV knowledge test has 30 questions and requires 24 correct answers — an 80% passing threshold. You can miss up to 6 questions. Missing 7 or more means you fail and must wait to retake the test.,medium
2,Traffic Laws & Rules of the Road,What is the legal BAC limit for a Maine driver age 21 or older?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,Maine sets the OUI (Operating Under the Influence) limit at 0.08% BAC for drivers 21 and older. Maine uses the term OUI rather than DUI. Commercial drivers face a stricter 0.04% limit.,medium
2,Traffic Laws & Rules of the Road,Maine uses the term 'OUI' for drunk driving. What does OUI stand for?,"a:Operating Under Influence,b:Offense Under Intoxication,c:Operating Unlawfully Impaired,d:Operating Under Intoxicants",a,"Maine uses the term OUI — Operating Under the Influence — rather than DUI or DWI. The concept is the same: operating a motor vehicle while impaired by alcohol or drugs, or with a BAC of 0.08% or higher.",medium
2,Traffic Laws & Rules of the Road,What BAC level triggers Maine's zero tolerance law for drivers under 21?,"a:0.00%,b:0.02%,c:0.04%,d:0.08%",b,Maine sets the underage OUI threshold at 0.02% BAC for drivers under 21. This is effectively zero — any measurable alcohol is prohibited for underage drivers in Maine.,medium
2,Traffic Laws & Rules of the Road,"Under Maine's GDL program, how many hours of supervised driving must a permit holder complete?","a:30 hours (no night requirement),b:70 hours (including 10 at night),c:30 hours (5 at night),d:No minimum hour requirement",b,Maine requires 70 hours of supervised driving practice — one of the highest requirements in the country — with at least 10 hours driven at night. The supervising driver must be a licensed adult age 20 or older. These hours must be logged and certified before advancing.,medium
2,Traffic Laws & Rules of the Road,What is the default speed limit on Maine urban streets when no sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:45 mph",b,"Maine sets the default speed limit in urban and business areas at 30 mph when no sign is posted. On rural roads, the default is 45 mph — lower than many states. Always check for posted signs, and use these defaults when no sign is visible.",medium
2,Traffic Laws & Rules of the Road,What is notable about Maine's default rural road speed limit compared to most other states?,"a:Maine has the highest rural default at 65 mph,b:Maine's rural default is 45 mph — lower than the 55 mph used by most states,c:Maine has no default — all roads must be posted,d:Maine's rural default is 55 mph, the same as most states",b,"Maine's default speed limit on rural roads is 45 mph — lower than the 55 mph default used by most other states. This reflects Maine's road conditions, wildlife hazards, and narrower rural roads. Always look for posted signs, but the default is 45 mph on unposted rural roads.",medium
2,Traffic Laws & Rules of the Road,You approach a school bus stopped on an undivided road with flashing red lights. What must you do?,"a:Stop only if you are behind the bus,b:Stop in both directions at least 25 feet from the bus,c:Slow to 15 mph and pass carefully,d:Stop only if children are visible outside",b,"Maine law requires all vehicles in both directions on an undivided road to stop at least 25 feet from a school bus displaying flashing red lights. Wait until the stop arm retracts and the lights stop before proceeding. On a divided highway, only traffic behind the bus must stop.",medium
2,Traffic Laws & Rules of the Road,Maine's Move Over law requires you to do what when approaching a stationary emergency vehicle with flashing lights?,"a:Slow to 20 mph,b:Move one lane away if safe, or reduce speed if a lane change is not possible,c:Stop completely behind the vehicle,d:Only required for police — not tow trucks",b,"Maine's Move Over law requires drivers to move one lane away from stationary emergency, law enforcement, utility, or tow vehicles with flashing lights. If a safe lane change is not possible, reduce speed significantly. The law applies to all such vehicles.",medium
2,Traffic Laws & Rules of the Road,When must Maine drivers use their headlights?,"a:Only from sunset to sunrise,b:From 30 minutes after sunset to 30 minutes before sunrise, and when visibility is under 500 feet,c:Only in rain and fog,d:Only between 10 PM and 5 AM",b,"Maine requires headlights from one-half hour after sunset to one-half hour before sunrise, and anytime visibility is less than 500 feet due to weather. This includes rain, fog, snow, and other conditions reducing visibility — not just complete darkness.",medium
2,Traffic Laws & Rules of the Road,What is the minimum recommended following distance in Maine under normal conditions?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,"Maine recommends a minimum 3-second following distance under normal conditions. In Maine's challenging weather — rain, snow, ice, and fog — increase following distance to 6 seconds or more. The 3-second rule provides the bare minimum reaction time to stop safely.",medium
2,Traffic Laws & Rules of the Road,A flashing red traffic signal requires you to:,"a:Slow down and proceed with caution,b:Yield to cross traffic and proceed,c:Come to a complete stop, yield to all traffic, and proceed when safe,d:Continue at the posted speed",c,"A flashing red signal in Maine is treated like a stop sign. Make a complete stop, yield to all traffic and pedestrians, and proceed only when the way is clear. A flashing yellow means caution — slow down but a full stop is not required.",medium
2,Traffic Laws & Rules of the Road,"On a two-lane road in Maine, when may you legally cross a solid yellow line on your side?","a:When the road ahead is visible for at least 500 feet,b:You may never cross a solid yellow line on your side to pass,c:When the vehicle ahead is going well below the speed limit,d:When you signal at least 200 feet in advance",b,A solid yellow line on your side is an absolute prohibition on crossing the center line to pass. No exceptions. Only when the yellow line on your side is broken (dashed) may you pass when it is safe.,medium
2,Traffic Laws & Rules of the Road,Maine seatbelt law requires which vehicle occupants to wear a seatbelt?,"a:Driver and front-seat passengers only,b:All occupants in the vehicle,c:Only those under 18,d:Driver only",b,Maine requires all vehicle occupants — in all seating positions — to wear a seatbelt. Maine has primary enforcement. Children under 40 pounds or under age 2 must be in a rear-facing child safety seat; children under 8 or under 80 pounds must use a booster seat.,medium
2,Traffic Laws & Rules of the Road,"When an emergency vehicle with lights and siren approaches from behind, you must:","a:Speed up to the next intersection and pull over,b:Pull to the right edge of the road and stop,c:Slow to 10 mph and stay in your lane,d:Move to the center of the road",b,"Maine law requires you to immediately pull to the right edge of the road and stop when an emergency vehicle with active lights and siren approaches. Remain stopped until the vehicle has passed. If you are in an intersection, clear it first, then pull to the right.",medium
2,Traffic Laws & Rules of the Road,Can you make a right turn on a red light in Maine?,"a:No, right turns on red are prohibited statewide,b:Yes, after a complete stop, yielding to traffic and pedestrians, unless a sign prohibits it,c:Yes, without stopping if the turn is clear,d:Only during daytime",b,"Right turns on red are permitted in Maine after a complete stop, yielding to pedestrians and cross traffic, and only when no 'No Turn on Red' sign is posted. Always make a full stop — rolling through on red while turning right is illegal.",medium
