section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,Which agency handles driver licensing and permits in Maryland?,"a:Maryland DMV,b:Maryland Motor Vehicle Administration (MVA),c:Maryland DOT,d:Maryland Secretary of State",b,"Maryland's Motor Vehicle Administration (MVA) handles driver licensing, vehicle registration, and permits. Maryland does not have a traditional DMV — the MVA is the equivalent agency in Maryland.",medium
1,Traffic Laws & Rules of the Road,Maryland's real MVA knowledge test has 25 questions. How many must you answer correctly to pass — and what makes this threshold unusual?,"a:18 correct (72%) — lower than most states,b:20 correct (80%) — same as most states,c:22 correct (88%) — higher than most states,d:25 correct (100%) — perfect score required",c,Maryland requires 22 out of 25 correct — an 88% passing threshold. This is significantly higher than the 80% standard used by most other states. Maryland's stricter standard means you can miss only 3 questions. This makes thorough preparation especially important.,medium
1,Traffic Laws & Rules of the Road,How many questions can you miss on Maryland's MVA knowledge test and still pass?,"a:5 questions (80% threshold),b:4 questions (84% threshold),c:3 questions (88% threshold),d:2 questions (92% threshold)",c,"You can miss only 3 questions on Maryland's 25-question test. At 88%, Maryland's passing threshold is one of the highest in the nation. If you miss 4 or more questions, you fail. Thorough study of the Maryland Driver's Manual is essential.",medium
1,Traffic Laws & Rules of the Road,What is the minimum age for a Maryland learner's permit applicant?,"a:15,b:15 and three-quarters (15¾),c:16,d:14",b,Maryland requires applicants to be at least 15 years and 9 months old (15¾) to apply for a learner's permit. This is a precise age requirement — slightly higher than the typical 15-year minimum used by many other states.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a Maryland driver age 21 or older?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"Maryland sets the DUI limit at 0.08% BAC for drivers 21 and older. Maryland also has a separate DWI charge for BAC between 0.07% and 0.08%, which carries penalties but is distinct from DUI. Commercial drivers face a stricter 0.04% limit.",medium
1,Traffic Laws & Rules of the Road,What BAC triggers Maryland's zero tolerance law for drivers under 21?,"a:0.00%,b:0.02%,c:0.04%,d:0.08%",b,Maryland sets the underage alcohol limit at 0.02% BAC for drivers under 21. This is the standard zero tolerance threshold used by most states — effectively prohibiting any alcohol consumption before driving for those under 21.,medium
1,Traffic Laws & Rules of the Road,"Under Maryland's GDL program, how many hours of supervised driving must a permit holder complete?","a:30 hours (10 at night),b:60 hours (10 at night),c:40 hours (10 at night),d:50 hours (10 at night)",b,"Maryland requires 60 hours of supervised driving practice, with at least 10 hours driven at night. The supervising driver must be a licensed driver age 21 or older seated in the front seat. These hours must be certified before applying for a provisional license.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit on Maryland urban streets when no speed limit sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:45 mph",b,"Maryland sets the default speed limit in urban and business areas at 30 mph when no sign is posted. On rural roads, the default is 55 mph. Always check for posted signs — but use these defaults when no sign is visible.",medium
1,Traffic Laws & Rules of the Road,Maryland's Move Over law requires what when approaching a stationary emergency vehicle with flashing lights on a highway?,"a:Slow to 25 mph only,b:Move one lane away if safe, or reduce speed to 20 mph below the posted limit if a lane change is not possible,c:Stop completely behind the vehicle,d:Only required for police — not tow trucks",b,"Maryland's Move Over law requires moving one lane away from stationary emergency, law enforcement, utility, or tow vehicles with flashing lights. If a safe lane change is not possible, reduce speed to at least 20 mph below the posted speed limit (or 20 mph on roads posted under 40 mph).",medium
1,Traffic Laws & Rules of the Road,You approach a school bus stopped on an undivided road with flashing red lights and stop arm extended. You must:,"a:Stop only if you are directly behind the bus,b:Stop in both directions at least 20 feet from the bus,c:Slow to 15 mph and pass carefully,d:Stop only if children are visible outside",b,"Maryland law requires all vehicles in both directions on an undivided road to stop at least 20 feet from a school bus displaying flashing red lights. Wait until the stop arm retracts and lights stop before proceeding. On a divided highway with a median, only traffic behind the bus must stop.",medium
1,Traffic Laws & Rules of the Road,When must Maryland drivers turn on their headlights?,"a:Only from sunset to sunrise,b:From 30 minutes after sunset to 30 minutes before sunrise, and when visibility is under 1,000 feet,c:Only in rain and fog,d:Only at night between 10 PM and 5 AM",b,"Maryland requires headlights from one-half hour after sunset to one-half hour before sunrise, and whenever weather reduces visibility to less than 1,000 feet. Maryland's threshold of 1,000 feet is more conservative than many other states, which use 500 feet.",medium
1,Traffic Laws & Rules of the Road,A flashing red traffic signal requires you to:,"a:Slow down and proceed with caution,b:Yield to cross traffic and proceed,c:Come to a complete stop, yield, and proceed when safe,d:Continue at the posted speed",c,"A flashing red signal is treated like a stop sign in Maryland. Make a complete stop, yield to all traffic and pedestrians, and proceed when the way is clear. A flashing yellow means caution — reduce speed but a full stop is not required.",medium
