section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"Emergency vehicles using sirens, horns, and/or flashing lights:","a:Have the right-of-way and drivers must yield to them.,b:May follow each other and you should proceed only when sure the way is clear.,c:May use a loudspeaker to give instructions.",a,Yield the right-of-way to emergency vehicles using sirens or lights; obey instructions and ensure the path is clear before proceeding.,
8,Special Situations & Road Users,What shape/color represents the slow-moving vehicle emblem?,"a:Reflective orange triangle (commonly shown on a yellow/orange background),b:Rectangular red sign,c:Circular green sign,d:Diamond-shaped yellow sign",a,The slow-moving vehicle emblem is a reflective orange (sometimes bordered) triangle indicating a vehicle likely traveling 25 mph or less.,
6,"Alcohol, Drugs & Impaired Driving",Which are ways alcoholic beverages can affect you?,"a:They slow reaction time, impair thinking, and give a false sense of confidence.,b:They always improve alertness.,c:They only cause sleepiness but not coordination problems.,d:They only affect people who are under 21.",a,"Alcohol slows reaction time, impairs judgment and thinking, and can produce false confidence and poor coordination.",
2,Traffic Laws & Rules of the Road,Which of the following about railroad crossings is true?,"a:It is illegal to drive around lowered gates.,b:All crossings have flashing signals and gates.,c:You never need to stop if no train is visible.",a,"Driving around lowered gates is unlawful. Not all crossings have gates or signals; always obey signs, flags, and warning devices.",difficult
7,Vehicle Ownership & Responsibilities,"If you are involved in an accident as a driver, you should:","a:Exchange information such as names, addresses, license and insurance details.,b:Refuse to share any details.,c:Leave immediately and call later.,d:Only give your name without other details.",a,"Exchange full information with other drivers, including names, addresses, license numbers, vehicle data, and insurance details.",
7,Vehicle Ownership & Responsibilities,Turn signal lights on vehicles manufactured after 1955 must be visible for at least how many feet?,"a:250 feet,b:300 feet,c:500 feet",b,Required front and rear turn signal lamps must be visible for at least 300 feet in normal daylight conditions.,
2,Traffic Laws & Rules of the Road,"When the centerline shows a solid yellow line next to a broken yellow line with the broken line next to your lane, when may you pass?","a:Only in an emergency.,b:If you are on an expressway.,c:If traffic is clear",c,"When the broken line is next to your lane, you may cross to pass if no oncoming traffic is present and it is safe to do so.",
3,"Signs, Signals & Road Markings",A single broken white line between lanes indicates what?,"a:Lanes are moving in the same direction and drivers may change lanes when safe.,b:Lanes are moving in opposite directions and drivers may pass when safe.,c:Lanes are moving in the same direction and drivers are not permitted to pass",a,Broken white lines separate lanes moving in the same direction and may be crossed when it is safe to change lanes.,
3,"Signs, Signals & Road Markings",What must you do when you encounter a flashing red traffic light at an intersection?,"a:Come to a complete stop, then proceed when the way is clear.,b:Slow down and proceed without stopping,c:Wait until a green light appears,d:Yield only to pedestrians",a,"A flashing red light is equivalent to a stop sign: stop fully, then go when safe.",
5,Driving in Special Conditions,"When weather changes suddenly, what should you do?","a:Be particularly aware of vehicles coming up behind you in inclement weather.,b:A sudden change in weather calls for a change in driving.,c:You should slow down when driving in rain and fog.",b,"If the weather changes suddenly, adjust your driving to match conditions — slow down in rain or fog and be aware of vehicles behind you that may not be slowing.",
3,"Signs, Signals & Road Markings",What does a solid red arrow on a traffic signal mean?,"a:Stop and do not turn in the direction of the arrow until it changes.,b:The arrow is decorative only and may be ignored,c:Proceed with caution and yield to pedestrians,d:You may turn after yielding to oncoming traffic",a,A solid red arrow indicates traffic in that lane must stop and may not turn in the arrow's direction until it changes.,
8,Special Situations & Road Users,"If a police officer stops your vehicle, you should:","a:Get your paperwork ready before the officer reaches your car.,b:Stay in your vehicle with your hands on the steering wheel and wait for the officer to approach you.,c:Unbuckle your seat belt and lower your window.",b,Remain in your vehicle with hands visible on the wheel and wait for the officer’s instructions; only retrieve documents when asked.,
5,Driving in Special Conditions,"When parking uphill next to a curb, how should you position your front wheels?","a:Turn the front wheels away from the curb.,b:Turn the front wheels toward the curb.,c:Keep the front wheels straight and set the parking brake.,d:Leave the wheels in neutral",a,"When parked facing uphill with a curb, turn wheels away from the curb so if brakes fail the vehicle rolls into the curb rather than into traffic.",
2,Traffic Laws & Rules of the Road,"At a railroad crossing with only a crossbuck and no gates or flashing lights, how should you proceed?","a:Approach with extreme caution and only cross when you are sure no train is coming.,b:Turn down the radio to try to hear a train.,c:Only proceed if a flagger clears you to go.",a,Always approach crossings cautiously and do not cross until you have determined no train is coming; obey any flagger if present.,
8,Special Situations & Road Users,A person walking with a white cane or guide dog is most likely:,"a:Blind or visually impaired.,b:Deaf.,c:Part of a traffic study.,d:Directing traffic.",a,Drivers must always yield the right-of-way to a pedestrian who is using a white cane or guide dog.,
2,Traffic Laws & Rules of the Road,"When turning left from a two-way street onto a one-way street, where should your vehicle end up?","a:In the left lane of the one-way street,b:In the center of the roadway,c:In the right lane of the one-way street,d:Across two lanes",a,"When turning left onto a one-way street from a two-way street, complete the turn into the leftmost lane available on the one-way street.",
4,Safe & Defensive Driving Practices,Which is the most common cause of traffic crashes?,"a:Bad weather,b:Human error,c:New drivers",b,"Most crashes are caused by human error — mistakes like failing to see other vehicles, misjudging distance, or making poor decisions.",
