section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,North Dakota has one of the lowest minimum permit ages in the country. At what age can a teen apply for a learner's permit?,"a:13,b:14,c:14 and a half,d:15",b,North Dakota allows teens to apply for a learner's permit at age 14 — one of the youngest permit ages in the country. This reflects North Dakota's rural character where driving skills are needed at a younger age for farm and ranch work.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in North Dakota?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,North Dakota sets the per se DUI limit at 0.08% BAC for drivers 21 and older. Commercial vehicle drivers face a stricter 0.04% limit. Reaching 0.08% BAC is sufficient for a DUI charge regardless of whether the driver appears impaired.,medium
1,Traffic Laws & Rules of the Road,You are driving on a North Dakota rural highway and encounter a large grain truck moving slowly during harvest season. What should you do?,"a:Pass immediately — farm vehicles must pull over for regular traffic,b:Follow at a safe distance and pass only when there is a broken yellow line and clear sight distance,c:Honk repeatedly to signal the truck to pull over,d:Pass on the right shoulder — farm vehicles always yield to cars",b,"North Dakota's rural highways see significant grain truck traffic during harvest season. Follow at a safe distance and pass on the left only when: the centerline has a broken yellow on your side, you have clear sight distance of at least 1,000 feet, and no oncoming traffic is approaching.",medium
1,Traffic Laws & Rules of the Road,North Dakota's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.00% — any detectable amount,b:0.02%,c:0.04%,d:0.08%",b,"North Dakota's zero tolerance law sets an illegal BAC of 0.02% for drivers under 21. Any BAC at or above 0.02% results in automatic license suspension. Essentially, no alcohol is permitted for North Dakota drivers under 21.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit on most North Dakota rural highways when no speed limit sign is posted?,"a:55 mph,b:60 mph,c:65 mph,d:70 mph",a,"North Dakota sets the default speed limit at 55 mph on unposted paved two-lane county and township highways (as well as gravel and dirt roads). Divided multi-lane highways are set at 70 mph, and rural interstates are set at 80 mph. Always watch for posted limits.",medium
1,Traffic Laws & Rules of the Road,You are driving on a North Dakota highway in winter and the road surface looks shiny and wet despite dry weather. This is likely:,"a:A mirage caused by cold air,b:Black ice — a nearly invisible layer of ice that forms on road surfaces,c:Fresh road sealant that is still wet,d:Morning frost that will evaporate quickly",b,"Black ice is a serious hazard on North Dakota's long, flat roads. It forms when moisture freezes on the road surface, creating a thin transparent layer that looks wet. Black ice is extremely slippery — if you suspect black ice, ease off the accelerator, avoid sudden steering, and brake very gently.",medium
1,Traffic Laws & Rules of the Road,What must you do when a school bus stops on a North Dakota road with flashing red lights and an extended stop arm?,"a:Stop only if you are directly behind the bus,b:All traffic in both directions must stop at least 20 feet from the bus on undivided roads,c:Slow to 10 mph and pass the bus if no children are visible,d:Stop only on divided highways",b,"North Dakota requires all traffic on undivided roads in both directions to stop at least 20 feet from a school bus with flashing red lights. Wait until the lights stop and the arm retracts before proceeding. On divided highways with a physical barrier, only traffic behind the bus must stop.",medium
1,Traffic Laws & Rules of the Road,What does North Dakota's Move Over law require when passing a stopped law enforcement or emergency vehicle?,"a:Slow to 25 mph and stay in your lane,b:Move one lane away from the stopped vehicle if safely possible — or reduce speed if a lane change is not possible,c:Stop completely behind the vehicle until it moves,d:Move over only for law enforcement, not for tow trucks",b,"North Dakota's Move Over law requires drivers to move one lane away from stopped emergency, law enforcement, roadside assistance, or highway maintenance vehicles with flashing lights. If moving is not safely possible, slow to at least 20 mph below the posted speed limit.",medium
1,Traffic Laws & Rules of the Road,"On a North Dakota two-lane highway, which of these situations would make passing another vehicle ILLEGAL?","a:The road ahead is straight with a broken yellow center line on your side,b:There is a solid yellow line on your side of the center,c:The vehicle ahead is driving 10 mph below the speed limit,d:You have plenty of room to pass quickly",b,A solid yellow line on your side of the center line means passing is prohibited. You must not cross a solid yellow line to pass another vehicle regardless of its speed. Only pass when there is a broken yellow line on your side AND you have adequate sight distance.,medium
1,Traffic Laws & Rules of the Road,You are driving in a North Dakota blizzard with near-zero visibility. What should you do?,"a:Turn on high beams to see further and maintain your speed,b:Pull off the road completely and wait for the storm to pass,c:Drive on the shoulder to avoid other vehicles,d:Follow the vehicle ahead very closely so you can see their tail lights",b,"In a North Dakota blizzard with near-zero visibility, pull off the road completely — ideally at a rest stop or parking lot. Turn on hazard lights, stay in your vehicle, and wait for conditions to improve. Following other vehicles in whiteout conditions can lead to pile-ups when the lead vehicle stops.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit in a North Dakota school zone when warning lights are flashing?,"a:10 mph,b:15 mph,c:20 mph,d:25 mph",c,North Dakota school zones have a speed limit of 20 mph when the warning lights are flashing or when children are present. Always reduce your speed well in advance of school zones and watch for children near the road during school hours.,medium
1,Traffic Laws & Rules of the Road,"Under North Dakota's implied consent law, refusing a chemical test after a DUI arrest results in:","a:No penalty — refusal is a protected right,b:A 180-day license suspension for a first offense,c:Only a small fine with no license consequences,d:License suspension only if later convicted of DUI",b,North Dakota's implied consent law means driving on state roads implies your consent to chemical testing. A first-offense refusal results in a 180-day administrative license suspension plus the refusal can be used as evidence in your DUI case.,medium
1,Traffic Laws & Rules of the Road,"In North Dakota, when must you use your headlights?","a:Only between midnight and 5 AM,b:From 30 minutes after sunset to 30 minutes before sunrise and when visibility is under 500 feet,c:Only in rain or snow,d:Only when other vehicles have their lights on",b,"North Dakota requires headlights from 30 minutes after sunset to 30 minutes before sunrise and whenever visibility is reduced to less than 500 feet due to weather. North Dakota's blizzards, freezing fog, and blowing snow make headlight use critical for visibility — use them whenever there is any doubt.",medium
1,Traffic Laws & Rules of the Road,You are approaching a railroad crossing on a North Dakota rural road. The warning lights are flashing. What must you do?,"a:Slow to 15 mph and proceed if no train is visible,b:Stop before the gate and wait until it fully rises and lights stop before crossing,c:Proceed quickly to beat the train if it appears far away,d:Honk and proceed if you can see the train is not close",b,"When railroad crossing warning lights are flashing in North Dakota, stop before the gate or stop line. Wait until the gate rises completely and the lights stop flashing before crossing. Never race a train — trains move faster than they appear and cannot stop quickly.",medium
1,Traffic Laws & Rules of the Road,What is the minimum following distance recommended on North Dakota highways?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,North Dakota recommends a minimum 3-second following distance. On snow and ice — extremely common in North Dakota — increase to at least 8–10 seconds because stopping distances increase dramatically on slippery surfaces.,medium
