section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"Approaching a railroad crossing without active warning signals, a driver should:","a:Rely only on the crossbuck sign and keep speed.,b:Proceed normally if no train is visible.,c:Slow down, look, and listen before crossing.",c,"If a crossing has no active warning devices (lights, gates, or bells), you must slow down, look carefully in both directions, and listen for trains before proceeding. Be prepared to stop if necessary.",
2,Traffic Laws & Rules of the Road,What does a posted speed limit sign represent?,"a:A minimum speed you must maintain.,b:The exact speed you must travel at all times to avoid a ticket.,c:The maximum legal speed under ideal road and weather conditions.,d:A recommended speed you may ignore if traffic is light.",c,Speed limits indicate the maximum legal speed under ideal conditions; drivers must slow down when conditions are less than ideal.,difficult
3,"Signs, Signals & Road Markings",What is the most common color used for warning signs?,"a:Red.,b:Yellow.,c:Green.",b,Most warning signs are yellow (usually diamond-shaped) with black symbols or lettering to warn of potential hazards.,
8,Special Situations & Road Users,"If you are following a school bus or a tank truck carrying flammable liquids, you should be prepared to do what?","a:Pass them cautiously on the right.,b:Decrease your following distance.,c:Be prepared to stop at all railroad crossings and maintain a safe following distance.",c,"School buses and many tank trucks carrying flammable or hazardous materials are required to stop at railroad crossings. When following them, you should increase your following distance and be prepared to stop at all railroad crossings.",
2,Traffic Laws & Rules of the Road,From which lane must you make a left turn when leaving a one-way street?,"a:The lane nearest the right curb.,b:Any lane as long as you signal.,c:The lane nearest the left curb.,d:The lane nearest the center of the street.",c,"On a one-way street, you must make a left turn from the lane closest to the left curb into the nearest lawful lane on the road you are entering, unless signs or pavement markings indicate otherwise.",
4,Safe & Defensive Driving Practices,How should you change lanes?,"a:Only when a car is in your blind spot,b:Quickly and often to stay ahead of traffic,c:Gradually and carefully after checking mirrors and blind spots",c,"Change lanes gradually and carefully; check mirrors, signal, and check your blind spots before moving over.",
3,"Signs, Signals & Road Markings",What does a double solid yellow centerline indicate about passing?,"a:Passing is allowed only from your direction of travel.,b:Passing is allowed from both directions.,c:Passing is not allowed from either direction.",c,A double solid yellow centerline separates traffic moving in opposite directions and means passing is prohibited from both directions.,
2,Traffic Laws & Rules of the Road,What is likely to happen if you drive substantially slower than the flow of traffic?,"a:You will automatically be demonstrating defensive driving.,b:You will improve traffic flow.,c:You may interfere with traffic flow and could be cited.",c,"If you drive substantially slower than the normal flow of traffic without a valid reason, you may interfere with traffic flow and can be cited for impeding traffic. When safe and legal, drive at a speed that matches the reasonable flow of traffic, without exceeding the speed limit.",
5,Driving in Special Conditions,"Which headlights should you use when driving in fog, heavy rain, or snow?","a:Parking lights only.,b:Only fog lights and no headlights.,c:High beam headlights.,d:Low beam headlights.",d,"Use low beam headlights in fog, heavy rain, or snow. High beams can reflect off moisture in the air, causing glare and reducing your ability to see.",
6,"Alcohol, Drugs & Impaired Driving",Alcohol consumption affects driving by:,"a:Waking you up,b:Slowing reflexes and reaction time,c:Improving concentration",b,"Alcohol is a central nervous system depressant that slows brain activity, reflexes, reaction time, and judgment needed for safe driving.",
2,Traffic Laws & Rules of the Road,When may you pass another vehicle?,"a:When the centerline next to your lane is solid.,b:When the centerline next to your lane is broken and it is safe to do so.,c:When you are on a hill or curve and cannot see ahead.",b,"Passing is allowed when the broken centerline is adjacent to your lane and it is safe to do so, including having sufficient clear distance and no oncoming traffic. Passing is not allowed when the centerline next to your lane is solid or when your view is blocked by a hill or curve.",
5,Driving in Special Conditions,How do sudden gusts of wind affect vehicles on highways?,"a:They only affect the movement of very large trucks.,b:They can cause problems for all vehicles,c:They pose no risk on modern highways.,d:They only reduce visibility but do not affect vehicle stability.",b,"Strong or sudden gusts of wind, especially crosswinds, can affect the stability and path of all vehicles, not just large trucks. Drivers of all vehicles should be prepared to adjust steering and speed.",
8,Special Situations & Road Users,Are drivers required to yield to pedestrians even if the pedestrian is crossing against the light?,"a:False,b:True",b,"Drivers must exercise due care to avoid colliding with pedestrians at all times, even if the pedestrian is crossing against the light or outside a crosswalk. Although the pedestrian may be violating the law and may not have the legal right-of-way, you are still required to do everything reasonably possible to avoid hitting them.",
5,Driving in Special Conditions,At what approximate speed can a car begin to hydroplane on standing water?,"a:About 40 miles per hour.,b:About 35 miles per hour.,c:About 45 miles per hour.,d:About 25 miles per hour.",b,"Hydroplaning can begin at speeds around 35 mph on standing water, depending on tire condition and water depth. At this speed, tires may start to ride up on the water and lose contact with the road surface.",difficult
4,Safe & Defensive Driving Practices,"When approaching an accident scene, what is the appropriate action if you are not involved?","a:Stop immediately to watch and take photos.,b:Drive toward the scene to offer assistance without checking for hazards.,c:Keep driving and maintain attention to the road; do not stop unless you are involved or emergency help hasn't arrived.",c,"Do not stop at a crash scene if you are not involved, unless emergency help has not yet arrived and it is safe and necessary for you to assist. Otherwise, keep driving, maintain your attention on the road, and watch for people, emergency vehicles, and debris.",difficult
8,Special Situations & Road Users,What is a good practice when driving near a large commercial vehicle?,"a:Drive beside it for long stretches to stay out of its blind spot.,b:Avoid lingering beside it — do not stay in its blind spots.,c:Tailgate to reduce wind drag on your vehicle.,d:Always pass on the right regardless of conditions.",b,Large commercial vehicles have large blind spots on each side. Avoid lingering beside them or in their blind spots; pass quickly and safely when it is legal and safe to do so.,difficult
5,Driving in Special Conditions,What is the best general way to reduce the chance of hydroplaning in wet weather?,"a:Drive in the center of the road at high speed.,b:Slow down to speeds appropriate for wet conditions.,c:Maintain the same speed you use on dry roads.,d:Brake hard as soon as you feel the car slide.",b,Drive slower in wet conditions; lower speeds help tires channel water and maintain road contact.,
4,Safe & Defensive Driving Practices,How should you prepare when driving to an unfamiliar area?,"a:Plan your route before you start driving.,b:Depend mainly on road signs while driving.,c:Drive with only a general sense of the destination.",a,Plan trips in advance and check maps or directions so you aren't driving with only a vague idea of the route.,
