section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,"If an emergency vehicle is approaching with flashing lights and/or siren, what should you do?","a:Make every reasonable effort to give the emergency vehicle a clear path, such as pulling to the side and stopping.,b:Speed up to get out of its way without pulling over.,c:Stop in the travel lane and block passage.,d:Continue as normal because they will find another route.",a,Yield to emergency vehicles by pulling to the side and stopping if necessary to provide a clear path for them to pass.,medium
1,Traffic Laws & Rules of the Road,Many crashes are caused by which of the following?,"a:Driving too fast for the conditions,b:Drivers consistently checking their mirrors,c:Drivers yielding the right-of-way",a,Traveling at speeds too high for the conditions reduces reaction time and increases crash likelihood; always adjust speed to conditions.,medium
1,Traffic Laws & Rules of the Road,When must you stop your vehicle?,"a:At stop signs, red lights, or when ordered by a traffic officer.,b:Only if another car is waiting at the intersection.,c:Only during rush hour.,d:If a pedestrian is nearby even without a crosswalk.",a,"You are required to stop at intersections with stop signs, at red lights, and whenever a traffic officer directs you to stop.",medium
1,Traffic Laws & Rules of the Road,"When you see a 'Merging traffic' sign on a multilane road, what should you do?","a:Make room for entering vehicles by changing lanes when safe.,b:Always stay at your current speed regardless of traffic.,c:Honk to warn merging drivers.,d:Stop immediately to let them in.",a,"On multilane roads, move over when safe to allow entering traffic to merge smoothly and avoid creating a bottleneck.",medium
1,Traffic Laws & Rules of the Road,How does alcohol affect driving performance?,"a:It slows reflexes and reaction time.,b:It improves focus and alertness.,c:It wakes you up and sharpens judgment.,d:It has no effect if you feel sober.",a,Alcohol is a depressant that slows brain activity and impairs the skills needed for safe driving.,medium
1,Traffic Laws & Rules of the Road,How should you approach an uncontrolled intersection?,"a:Yield to vehicles approaching from your right, slow down, cover the brake, and look in all directions,b:Maintain speed and proceed,c:Assume you have the right-of-way and go first",a,"At intersections with no signs or signals, yield to the vehicle on your right and be prepared to stop to avoid collisions.",medium
1,Traffic Laws & Rules of the Road,What does a flashing yellow traffic light mean?,"a:Proceed with caution.,b:Merging traffic.,c:Pedestrian crossing.",a,A flashing yellow light means you should slow down and proceed with caution.,medium
1,Traffic Laws & Rules of the Road,How does increasing your speed affect your field of vision?,"a:It decreases your field of vision making hazards harder to detect.,b:It increases your field of vision.,c:It makes it easier to see cross traffic.,d:It does not affect vision at all.",a,"As speed increases, your usable field of vision narrows, so you must be extra alert to hazards.",medium
1,Traffic Laws & Rules of the Road,Which steps help you drive more safely at night?,"a:Increase following distance, avoid driving tired, and keep headlights working.,b:Use only your parking lights.,c:Drive faster to reduce exposure time.,d:Use high beams all the time.",a,"Night driving reduces visibility; increase following distance, avoid driving when tired, and ensure headlights are functional.",medium
1,Traffic Laws & Rules of the Road,Which traffic signal gives you the right-of-way to turn left without yielding to oncoming traffic?,"a:A green arrow pointing left.,b:A solid green light.,c:A flashing yellow light.,d:A steady red light.",a,A steady green arrow indicates you may proceed in the direction of the arrow with oncoming traffic stopped for the turning movement.,medium
