section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,How can you reduce the risk of hydroplaning?,"a:Drive more slowly.,b:Drive more quickly.,c:Drive through deeper water.,d:Turn off traction control.",a,Hydroplaning is more likely at higher speeds on wet roads; slowing down helps tires channel water and maintain contact with the road.,medium
1,Traffic Laws & Rules of the Road,How far ahead should you look while driving to maintain safe awareness?,"a:About 10 to 15 seconds ahead.,b:Only 100 to 150 yards ahead.,c:One to two blocks only.,d:Directly in front of the hood at all times.",a,Scanning 10–15 seconds down the road helps you anticipate hazards and avoid last-second maneuvers.,medium
1,Traffic Laws & Rules of the Road,"If your vehicle begins to skid, how should you steer?","a:Turn the wheel in the direction you want the vehicle to go.,b:Turn the wheel to keep the front wheels straight.,c:Turn the wheel opposite the direction of the skid.",a,"If you skid, steer toward where you want the vehicle to go. When the car begins to straighten, correct steering to keep control.",medium
1,Traffic Laws & Rules of the Road,"If a tire suddenly blows out, what should you do with the steering and brakes?","a:Apply the brake and hold it.,b:Hold the steering wheel tightly and use the brakes lightly.,c:Pull over quickly.",b,"Hold the steering wheel firmly to keep the vehicle straight, slow gradually by easing off the gas, and apply brakes lightly once the vehicle is under control.",medium
1,Traffic Laws & Rules of the Road,Your vehicle's blind spot is the area:,"a:You cannot see without turning your head.,b:Directly behind your vehicle only.,c:Visible in your rearview mirror.,d:Inside the car behind the passenger seat.",a,Blind spots are areas not visible in mirrors; check them by turning your head to look over your shoulder before changing lanes.,medium
1,Traffic Laws & Rules of the Road,"If you stop along the road at night, what lighting should you use?","a:Keep your low-beam headlights on and turn on emergency flashers.,b:Turn off all lights to conserve battery.,c:Use parking lights only.",a,"If you stop at night, turn on your emergency flashers and keep your low-beam headlights on so other road users can see your vehicle.",medium
1,Traffic Laws & Rules of the Road,What helps you avoid needing to make emergency stops in traffic?,"a:Drive only in the right lane.,b:Look ahead and maintain a safe following distance.,c:Honk to make others aware of you.",b,Maintaining a safe following distance and scanning ahead allows you to react and avoid sudden emergency stops.,medium
1,Traffic Laws & Rules of the Road,"Before changing from the right lane into the left on a multi-lane highway, what checks should you make?","a:Look over your left shoulder for traffic in your blind spot and check mirrors, then signal.,b:Look only in your side mirror and then change lanes.,c:Signal and look in your rearview mirror only.",a,Check mirrors and look over your left shoulder for vehicles in the blind spot; always signal before changing lanes.,medium
1,Traffic Laws & Rules of the Road,Anything that requires you to which of the following could cause a crash?,"a:Take your attention away from the task of driving.,b:Take your hands off the wheel only briefly.,c:Use your mirrors occasionally.",a,"Any activity that diverts attention from driving, takes your eyes off the road, or your hands off the wheel is a dangerous distraction that can cause a crash.",medium
1,Traffic Laws & Rules of the Road,"After passing on the left, when is it safe to return to the right lane?","a:When you can see the front of the passed vehicle in your rearview mirror.,b:After roughly three seconds.,c:When you can no longer see the vehicle over your right shoulder.",a,You may return to the right lane when the passed vehicle's front is visible in your rearview mirror; always signal before changing lanes.,medium
1,Traffic Laws & Rules of the Road,Which type of roadway area tends to freeze first in cold weather?,"a:Areas shaded by trees or buildings.,b:Flat open areas.,c:Roads in direct sunlight.",a,Shaded sections freeze sooner and stay icy longer because they get less sun and dry more slowly than exposed areas.,medium
1,Traffic Laws & Rules of the Road,"Faced with an oncoming car on your left and a bicyclist on your right, what should you do?","a:Pull onto the shoulder.,b:Split the difference.,c:Let the car pass and then pass the bike.",c,"When multiple hazards exist, handle one at a time: allow the oncoming vehicle to pass before safely passing the bicyclist.",medium
1,Traffic Laws & Rules of the Road,"If you want to turn left but oncoming traffic is heavy and the light is green, what is the appropriate action?","a:Use the next intersection.,b:Wait at the crosswalk for traffic to clear.,c:Wait in the center of the intersection for traffic to clear.",c,"If the light is green and it is safe, you may enter the intersection to wait for a gap in oncoming traffic to complete your left turn; do not block the crosswalk.",medium
